dataset,gene_id,gene_symbol,annotation,peak_time_h,corr_p,amplitude_cv,rhythmic_tier,rhythmic_flag,peak_time_h_nminus,corr_p_nminus,amplitude_cv_nminus,rhythmic_tier_nminus
Kushige2013,alr5302,rpl10,50S ribosomal protein L10,21.4,0.013,0.362,b,True,21.2,0.024,0.235,b
Kushige2013,alr5303,rpl12,50S ribosomal protein L12,22.0,0.003,0.387,a,True,22.4,0.012,0.245,b
Kushige2013,asl0597,,hypothetical protein,8.4,0.039,0.631,b,True,-,-,-,AR
Kushige2013,asl3322,,unknown protein,14.8,0.024,0.404,b,True,13.2,0.012,0.447,b
Kushige2013,asl3518,,unknown protein,21.0,0.022,0.309,b,True,-,-,-,AR
Kushige2013,asl4207,rpl29,50S ribosomal protein L29,20.4,0.034,0.513,b,True,-,-,-,AR
Kushige2013,asr0023,apcC,"phycobilisome small core linker polypeptide Lc, allophycocyani",8.8,0.004,0.401,a,True,-,-,-,AR
Kushige2013,asr0461,,unknown protein,8.8,0.039,0.356,b,True,-,-,-,AR
Kushige2013,asr0531,cpcD,"phycobilisome small rod linker polypeptide Lr, phycocyanin-ass",10.0,0.017,0.26,b,True,-,-,-,AR
Kushige2013,asr1667,,unknown protein,4.0,0.038,0.752,b,True,3.2,0.015,0.739,b
Kushige2013,asr2665,,unknown protein,10.4,0.018,0.33,b,True,-,-,-,AR
Kushige2013,asr3168,,hypothetical protein,21.6,0.002,0.293,a,True,19.6,0.012,0.215,b
Kushige2013,asr5298,secE,secretory protein,21.2,0.034,0.342,b,True,-,-,-,AR
