mesor_vijayan,amplitude_vijayan,peak_time_h_vijayan,r2_vijayan,p_value_vijayan,n_points_vijayan,locus_tag_7942,amp_pct_vijayan,mesor_markson,amplitude_markson,peak_time_h_markson,r2_markson,p_value_markson,n_points_markson,amp_pct_markson,repro_dphi_h
0.018922860282051323,0.1695218046000957,15.313007451547856,0.8330364805285844,8.851978287652578e-06,16,Synpcc7942_0001,0.5924117205108941,0.058599752600000075,0.06664728519403065,12.11604114666306,0.19479778614295173,0.6483506052002916,7,0.20811419984973703,3.1969663048847963
-0.05932622062820509,0.3013872771800691,16.715911926467598,0.6205783918166436,0.0018377794588661659,16,Synpcc7942_0002,0.8245679939894816,-0.05735710880000016,0.18411544027727467,11.245999960121353,0.6203697815065929,0.144119102793352,7,0.6765589782118707,5.469911966346245
0.10415557114102574,0.09478013688378481,21.850782415925526,0.4922929368495409,0.01220354015182434,16,Synpcc7942_0003,0.30578512396694213,-0.017584970350000104,0.08092841691736287,14.859522193125223,0.1864097768031896,0.6619290512814358,7,0.2809917355371901,6.991260222800303
-0.1712279260000002,0.8367409007476994,1.3792695159719806,0.893824169477868,4.668386818408695e-07,16,Synpcc7942_0004,0.9819684447783621,-0.14799772270000044,0.8711583452152216,20.991451252801333,0.9202418661577659,0.006361359913995723,7,0.982344102178813,4.387818263170647
-0.01231244755128205,0.3672243816844946,12.197921276124761,0.8372346474255536,7.501580280347021e-06,16,Synpcc7942_0005,0.8756574004507889,-0.019345400649999983,0.1640301182602869,9.27072544188876,0.9797052722594387,0.00041187597406350804,7,0.6232156273478587,2.9271958342360005
-0.1078779881025642,0.10123779298450414,5.037200914666618,0.3583545994017219,0.0559008042226473,16,Synpcc7942_0006,0.33809166040571,-0.023082073050000016,0.05106127067973854,22.60011987338975,0.3270247894294731,0.45289563404244504,7,0.13673929376408714,6.437081041276869
0.09808387064102568,0.07509285391075952,2.4705115337415,0.32164850424126723,0.08025204632862162,16,Synpcc7942_0007,0.21825694966190834,0.025107865250000014,0.11087204894537443,20.48981062294207,0.4243489914276868,0.33137408367032145,7,0.43501126972201354,5.980700910799431
-0.1535218383589745,0.11240719408817643,4.294214540309349,0.5480314441332301,0.005730644115246169,16,Synpcc7942_0008,0.38655146506386173,-0.11174557635000018,0.06345991078813956,21.36577463443268,0.4910481392664464,0.25903199654414655,7,0.19459053343350863,6.928439905876669
-0.007613119871794893,0.3839590131940861,22.439212813255118,0.7800267186799715,5.313792184438002e-05,16,Synpcc7942_0009,0.8839218632607062,0.0037886172499999233,0.19188186624106252,19.45150866698259,0.6425176366885321,0.12779364007875235,7,0.6915852742299023,2.9877041462725273
0.01204395656410254,0.1671028729569827,5.33881698698889,0.4180361687288262,0.029636298686798516,16,Synpcc7942_0010,0.5845229151014275,-0.2158965124500001,0.29406502562317965,0.0007858340513180253,0.7551626104575806,0.05994534731794641,7,0.8414725770097671,5.338031152937571
-0.48186594280769274,0.3581606322423147,23.933967852435906,0.6269356836631825,0.0016466227806314889,16,Synpcc7942_0011,0.8703981968444778,-0.019420889500000236,0.21846373951524936,17.10557232538162,0.37883773582523983,0.38584255843471454,7,0.7434259954921112,6.828395527054287
-0.27908716435897457,0.1396908761997461,17.3465024267488,0.22354167030473293,0.19309365211243676,16,Synpcc7942_0012,0.4973703981968445,-0.27834782295000043,0.08552359961025538,20.22083665028655,0.07759978081644947,0.850822164349862,7,0.30240420736288504,-2.874334223537751
-0.08000943428205123,0.6372767114358351,18.765979589411593,0.6722234420116405,0.0007099966299506237,16,Synpcc7942_0013,0.9650638617580767,-0.41008195045000156,0.8925297784912681,15.24175829820762,0.8299513353575837,0.028916548346668965,7,0.9827197595792637,3.5242212912039736
-0.19216610110256424,0.12608760272398734,7.047359332471399,0.5612288041126954,0.004726587612851334,16,Synpcc7942_0014,0.4402704733283246,-0.21463864975000035,0.10175312338138612,10.058796690529146,0.47474179547708184,0.2758961814186397,7,0.3888054094665665,-3.011437358057748
0.05214951303846158,0.061801704215767195,16.245571561076027,0.19331526094831486,0.24749986503465482,16,Synpcc7942_0015,0.15664913598797897,-0.018797276200000084,0.07766187918377707,12.361910865930668,0.4463592307164249,0.3065181014129088,7,0.2625845229151014,3.883660695145359
-0.05332977864102571,0.15719138775139363,3.461652189028406,0.5308371900331793,0.007304714758813134,16,Synpcc7942_0016,0.5540946656649136,-0.12038926155000014,0.05770665965489392,23.472635544172647,0.18475851911545738,0.6646186721548218,7,0.17054845980465816,3.9890166448557594
-0.04627953674358975,0.06665485711263312,15.246465306199253,0.48276459433912966,0.013771257385069785,16,Synpcc7942_0017,0.17843726521412473,0.05781743435000037,0.3081441044031659,3.030174741534295,0.6199994011913489,0.1444004550949334,7,0.8553719008264463,-11.783709435335041
-0.14179354737179495,0.10644973308590108,20.50330724131204,0.25022998381339123,0.1538269561596926,16,Synpcc7942_0018,0.3610067618332081,-0.08976714035000016,0.01320001277063589,21.438668171452303,0.052936346827699876,0.8969295631600626,7,0.012021036814425245,-0.9353609301402628
-0.15745355125641028,0.6153519937935407,12.920478931053061,0.8197176247049869,1.4577943557364504e-05,16,Synpcc7942_0019,0.9605559729526671,0.023593624500000143,0.5591998955747416,8.81989522935823,0.9474289207703587,0.002763718371369226,7,0.9586776859504132,4.1005837016948306
-0.021345645102564096,0.1150549121820983,13.725740719665371,0.5294688076890111,0.007444314670439565,16,Synpcc7942_0020,0.39744552967693464,0.005412330500000011,0.16540806666430063,10.210411499282408,0.7477807038039312,0.06361457337364027,7,0.628099173553719,3.515329220382963
